timestamp,time_s,true_temperature,low_cost_sensor,reference_sensor,raw_error,ambient_temperature,relative_humidity,rate_of_change
2026-09-08 10:00:00,0.0,20.0,21.647,20.029,1.618,23.46,55.4,-0.1628
2026-09-08 10:00:01,1.0,20.001,21.485,19.99,1.495,23.39,54.2,-0.363
2026-09-08 10:00:02,2.0,20.005,20.921,20.047,0.874,23.45,54.3,-0.4172
2026-09-08 10:00:03,3.0,20.011,20.65,20.059,0.591,23.47,55.1,-0.3893
2026-09-08 10:00:04,4.0,20.019,20.143,19.981,0.162,23.58,54.7,0.1728
2026-09-08 10:00:05,5.0,20.03,20.996,20.011,0.985,23.57,55.5,0.9489
2026-09-08 10:00:06,6.0,20.043,22.041,20.067,1.974,23.59,54.9,0.1796
2026-09-08 10:00:07,7.0,20.058,21.355,20.069,1.286,23.68,54.2,-0.5113
2026-09-08 10:00:08,8.0,20.076,21.018,20.096,0.922,23.68,54.5,0.0175
2026-09-08 10:00:09,9.0,20.097,21.39,20.091,1.299,23.69,53.9,-0.161
2026-09-08 10:00:10,10.0,20.119,20.696,20.166,0.53,23.72,54.9,-0.117
2026-09-08 10:00:11,11.0,20.144,21.156,20.188,0.968,23.76,54.9,0.3092
2026-09-08 10:00:12,12.0,20.172,21.314,20.194,1.121,23.56,54.8,0.0578
2026-09-08 10:00:13,13.0,20.201,21.271,20.255,1.016,23.71,55.4,0.144
2026-09-08 10:00:14,14.0,20.233,21.602,20.267,1.335,23.59,55.4,0.1007
2026-09-08 10:00:15,15.0,20.268,21.473,20.262,1.211,23.78,54.9,0.0062
2026-09-08 10:00:16,16.0,20.305,21.615,20.336,1.279,23.8,54.1,-0.1509
2026-09-08 10:00:17,17.0,20.344,21.171,20.335,0.836,23.9,55.1,0.0724
2026-09-08 10:00:18,18.0,20.385,21.76,20.432,1.328,23.93,55.1,0.4401
2026-09-08 10:00:19,19.0,20.429,22.051,20.447,1.604,23.87,55.0,-0.29
2026-09-08 10:00:20,20.0,20.475,21.18,20.489,0.69,23.83,55.3,-0.4012
2026-09-08 10:00:21,21.0,20.523,21.249,20.523,0.726,23.93,54.4,0.4451
2026-09-08 10:00:22,22.0,20.574,22.07,20.631,1.439,23.86,55.6,0.1657
2026-09-08 10:00:23,23.0,20.627,21.58,20.643,0.938,23.92,54.4,0.0581
2026-09-08 10:00:24,24.0,20.682,22.186,20.69,1.496,24.02,55.1,0.0045
2026-09-08 10:00:25,25.0,20.74,21.589,20.749,0.84,23.91,54.1,0.0598
2026-09-08 10:00:26,26.0,20.8,22.305,20.836,1.469,24.04,54.4,0.1536
2026-09-08 10:00:27,27.0,20.862,21.896,20.893,1.003,24.05,55.3,-0.154
2026-09-08 10:00:28,28.0,20.926,21.997,20.959,1.038,23.93,54.6,0.3085
2026-09-08 10:00:29,29.0,20.993,22.513,21.026,1.487,24.11,55.0,-0.0485
2026-09-08 10:00:30,30.0,21.062,21.9,21.146,0.754,24.1,54.8,-0.3763
